index,Periode,SES-Score,Spreiding,Plaats,Buurt,Wijk,Gemeente,Region_Code,Region_Description,ID,RegioS,Perioden,GemiddeldeVerkoopprijs_1
5088,2015JJ00,"0,261","0,627",Alphen-Chaam,,,Alphen-Chaam,GM1723,Gemeente 'Alphen-Chaam' (GM1723),1006,GM1723,2015JJ00,299679.0
5090,2016JJ00,"0,254","0,644",Alphen-Chaam,,,Alphen-Chaam,GM1723,Gemeente 'Alphen-Chaam' (GM1723),1007,GM1723,2016JJ00,291149.0
5092,2017JJ00,"0,242","0,661",Alphen-Chaam,,,Alphen-Chaam,GM1723,Gemeente 'Alphen-Chaam' (GM1723),1008,GM1723,2017JJ00,315979.0
5094,2018JJ00,"0,255","0,658",Alphen-Chaam,,,Alphen-Chaam,GM1723,Gemeente 'Alphen-Chaam' (GM1723),1009,GM1723,2018JJ00,345480.0
5096,2019JJ00,"0,258","0,659",Alphen-Chaam,,,Alphen-Chaam,GM1723,Gemeente 'Alphen-Chaam' (GM1723),1010,GM1723,2019JJ00,347848.0
5326,2014JJ00,"0,142","0,675",Altena,,,Altena,GM1959,Gemeente 'Altena' (GM1959),1034,GM1959,2014JJ00,
5328,2015JJ00,"0,138","0,685",Altena,,,Altena,GM1959,Gemeente 'Altena' (GM1959),1035,GM1959,2015JJ00,
5330,2016JJ00,"0,129","0,698",Altena,,,Altena,GM1959,Gemeente 'Altena' (GM1959),1036,GM1959,2016JJ00,
5332,2017JJ00,"0,123","0,704",Altena,,,Altena,GM1959,Gemeente 'Altena' (GM1959),1037,GM1959,2017JJ00,
5334,2018JJ00,"0,124","0,708",Altena,,,Altena,GM1959,Gemeente 'Altena' (GM1959),1038,GM1959,2018JJ00,
5336,2019JJ00,"0,127","0,703",Altena,,,Altena,GM1959,Gemeente 'Altena' (GM1959),1039,GM1959,2019JJ00,291448.0
5958,2014JJ00,"0,087","0,669",Ameland,,,Ameland,GM0060,Gemeente 'Ameland' (GM0060),1121,GM0060,2014JJ00,198338.0
5960,2015JJ00,"0,076","0,682",Ameland,,,Ameland,GM0060,Gemeente 'Ameland' (GM0060),1122,GM0060,2015JJ00,178284.0
5962,2016JJ00,"0,07","0,682",Ameland,,,Ameland,GM0060,Gemeente 'Ameland' (GM0060),1123,GM0060,2016JJ00,252680.0
5964,2017JJ00,"0,086","0,668",Ameland,,,Ameland,GM0060,Gemeente 'Ameland' (GM0060),1124,GM0060,2017JJ00,251805.0
5966,2018JJ00,"0,074","0,672",Ameland,,,Ameland,GM0060,Gemeente 'Ameland' (GM0060),1125,GM0060,2018JJ00,259821.0
5968,2019JJ00,"0,1","0,652",Ameland,,,Ameland,GM0060,Gemeente 'Ameland' (GM0060),1126,GM0060,2019JJ00,321196.0
6030,2014JJ00,"0,093","0,84",Amersfoort,,,Amersfoort,GM0307,Gemeente 'Amersfoort' (GM0307),1179,GM0307,2014JJ00,243723.0
6032,2015JJ00,"0,095","0,842",Amersfoort,,,Amersfoort,GM0307,Gemeente 'Amersfoort' (GM0307),1180,GM0307,2015JJ00,240857.0
6034,2016JJ00,"0,095","0,848",Amersfoort,,,Amersfoort,GM0307,Gemeente 'Amersfoort' (GM0307),1181,GM0307,2016JJ00,262805.0
6036,2017JJ00,"0,094","0,854",Amersfoort,,,Amersfoort,GM0307,Gemeente 'Amersfoort' (GM0307),1182,GM0307,2017JJ00,296863.0
6038,2018JJ00,"0,103","0,856",Amersfoort,,,Amersfoort,GM0307,Gemeente 'Amersfoort' (GM0307),1183,GM0307,2018JJ00,340318.0
6040,2019JJ00,"0,116","0,848",Amersfoort,,,Amersfoort,GM0307,Gemeente 'Amersfoort' (GM0307),1184,GM0307,2019JJ00,358651.0
7694,2014JJ00,"0,117","0,823",Amstelveen,,,Amstelveen,GM0362,Gemeente 'Amstelveen' (GM0362),1237,GM0362,2014JJ00,305619.0
7696,2015JJ00,"0,11","0,84",Amstelveen,,,Amstelveen,GM0362,Gemeente 'Amstelveen' (GM0362),1238,GM0362,2015JJ00,331763.0
